FileName;Город;City;Страна;Country;Google;EW;NS;Stat
Nurnberg;Нюрнберг;Nuremberg;Германия;Germany;49.45;11.083333
Omsk;Омск;Omsk;Россия;Russia;54.983333;73.366667
Orel;Орёл;Oryol;Россия;Russia;52.966667;36.066667
Osaka;Осака;Osaka;Япония;Japan;34.7;135.5
Oslo;Осло;Oslo;Норвегия;Norway;59.949444;10.756389
Ottawa;Оттава;Ottawa;Канада;Canada;45.417;-75.7
Palma;Пальма-де-Майорка;Palma;Испания;Spain;39.566667;2.65
Paris;Париж;Paris;Франция;France;48.856667;2.350833
Perugia;Перуджа;Perugia;Италия;Italy;43.112222;12.388889
Peterburg;Санкт-Петербург;St.Petersburg;Россия;Russia;59.95;30.316667;25;35
Petrozavodsk;Петрозаводск;Petrozavodsk;Россия;Russia;61.783333;34.35;15;15
Philadelphia;Филадельфия;Philadelphia;США;USA;39.953333;-75.17
Pittsburgh;Питсбург;Pittsburgh;США;USA;40.441667;-80
Portland;Портленд;Portland;США;USA;45.52;-122.681944
Porto-Alegre;Порто-Алегре;Porto Alegre;Бразилия;Brazil;-30.033056;-51.23
Porto;Порту;Oporto;Португалия;Portugal;41.15;-8.633333
Poznan;Познань;Poznan;Польша;Poland;52.4;16.916667
Praha;Praha;Prague ;Чехия;Czech Republic;50.083333;14.416667
Pyongyang;Пхеньян;Pyongyang;Северная Корея;North Korea;39.031859;125.753765
Recife;Ресифи;Recife;Бразилия;Brazil;-8.05;-34.9
Rennes;Ренна;Rennes;Франция;France;48.114722;-1.679444
Rio-De-Janeiro;Рио-де-Жанейро;Rio de Janeiro;Бразилия;Brazil;-22.908333;-43.196389
Roma;Рим;Roma;Италия;Italy;41.9;12.5
Rotterdam;Роттердам;Rotterdam;Нидерланды;Netherlands;51.921667;4.481111
Rouen;Руан;Rouen;Франция;France;49.441203;1.096272
Sacramento;Сакраменто;Sacramento;США;USA;38.555605;-121.468926
Saint-Louis;Сент-Луис;Saint Louis;США;USA;38.63;-90.2
Salt-Lake-City;Солт-Лейк-Сити;Salt Lake City;США;USA;40.75;-111.883333
Samara;Самара;Samara;Россия;Russia;53.183333;50.116667;20;50
San-Diego;Сан-Диего;San Diego;США;USA;32.715;-117.1625
San-Francisco;Сан-Франциско;San Francisco;США;USA;37.7793;-122.4192
San-Jose;Сан-Хосе;San Jose;США;USA;37.335278;-121.891944
San-Juan;Сан-Хуан;San Juan;Puerto Rico;Пуэрто-Рико;18.45;-66.066667
San-Paulo;Сан-Пауло;São Paulo;Бразилия;Brazil;-23.55;-46.633333
Santiago;Сантьяго;Santiago;Чили;Chile;-33.45;-70.666667
Santo-Domingo;Санто-Доминго;Santo Domingo;Доминиканская Республика;Dominican Republic;18.5;-69.983333
Sapporo;Саппоро;Sapporo;Япония;Japan;43.066667;141.35
Saransk;Саранск;Saransk;Россия;Russia;54.183333;45.183333;10;10
Sendai;Сендай;Sendai;Япония;Japan;38.266667;140.866667
Seoul;Сеул;Seoul;Южная Корея;South Korea;37.568889;126.976667
Serfaus;Серфаус;Serfaus;Австрия;Austria;47.016667;10.583333
Sevilla;Севилья;Seville;Испания;Spain;37.377222;-5.986944
Shanghai;Шанхай;Shanghai;Китай;China;31.2;121.5
Shenzhen;Шеньчжень;Shenzhen;Китай;China;22.55;114.1
Singapore;Сингапур;Singapore;Сингапур;Singapore;1.283333;103.833333
Sochi;Сочи;Sochi;Россия;Russia;43.585278;39.720278;10;15
Sofia;София;Sofia;Болгария;Bulgaria;42.7;23.333333
Stockholm;Стокгольм;Stockholm;Швеция;Sweden;59.35;18.066667
Strasbourg;Страсбург;Strasbourg;Франция;France;48.584445;7.748612
Stuttgart;Штутгарт;Stuttgart;Германия;Germany;48.778611;9.179444
Sydney;Сидней;Sydney;Австралия;Australia;-33.859972;151.211111
Taipei;Тайбэй;Taipei;Китай;China;25.033333;121.633333
Tashkent;Ташкент;Tashkent;Узбекистан;Uzbekistan;41.266667;69.216667
Tbilisi;Тбилиси;Tbilisi;Грузия;Georgia;41.716667;44.783333
Tehran;Тегеран;Tehran;Иран;Iran;35.696111;51.423056
Tianjin;Тяньцзинь;Tianjin;Китай;China;39.133333;117.183333
Tokyo;Токио;Tokyo;Япония;Japan;35.683333;139.6
Torino;Турин;Turin;Италия;Italy;45.066667;7.7
Toronto;Торонто;Toronto;Канада;Canada;43.716589;-79.340686
Toulouse;Тулуза;Toulouse;Франция;France;43.604503;1.444026
Tunis;Тунис;Tunis;Тунис;Tunisia;36.8;10.183333
Ulan-Bator;Улан-Батор;Ulan Bator;Монголия;Mongolia;47.916667;106.916667
Utrecht;Утрехт;Utrecht;Нидерланды;Netherlands;52.093333;5.119444
Valencia;Валенсия;Valencia;Испания;Spain;39.470239;-0.376805
Valparaiso;Вальпараисо;Valparaiso;Чили;Chile;-33.05;-71.616667
Vancouver;Ванкувер;Vancouver;Канада;Canada;49.25;-123.1
Volgograd;Волгоград;Volgograd;Россия;Russia;48.7;44.516667
Warsaw;Варшава;Warsaw;Польша;Poland;52.2323;21.008433
Washington;Вашингтон;Washington;США;USA;38.895;-77.036667
Wienn;Вена;Vienna;Австрия;Austria;48.216667;16.373333
Wuhan;Ухань;Wuhan;Китай;China;29.972222;113.891389
Wuppertal;Вупперталь;Wuppertal;Германия;Germany;51.266667;7.183333
Yokohama;Иокогама;Yokohama;Япония;Japan;35.45;139.633333
